id,title,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,Date,Time,Duration_in_hours,CatchyWords
201812,Design Beautiful & Professional Ebooks Using FREE Software,20.0,239,7,26,1,2014-04-25,02:40:11,4.0,0.0
484896,Desktop Publishing 101: Simplified Editing,20.0,507,9,9,0,2015-04-28,17:01:32,1.0,0.0
553832,Create Professional Character Designs in Photoshop,20.0,228,11,21,2,2015-07-14,23:17:08,4.0,0.0
452182,How to Make a Custom Graphic From Sketches ,20.0,21,4,17,0,2015-04-10,19:00:00,0.7333333333333333,0.0
490392,Getting Started with Illustrator CC,100.0,92,10,57,0,2015-05-01,21:29:51,5.5,0.0
1093760,"Photoshop From Scratch to Logos, Digital Drawing & Projects",20.0,91,10,21,0,2017-05-12,17:56:59,1.5,0.0
1115504,How to Make Your Own Children's Interactive eBook!,95.0,33,2,17,0,2017-02-17,23:41:59,1.5,0.0
446022,InDesign Basics for Beginners: Learn InDesign Quickly,35.0,177,8,24,0,2015-08-13,21:47:01,1.5,0.0
522784,Create an Accelerated Learning Flowchart with Watercolors,200.0,668,5,16,1,2015-06-08,17:56:38,2.5,0.0
311846,How to Create Vector Characters in Illustrator or Photoshop,25.0,92,3,15,0,2014-10-02,17:40:19,3.5,0.0
942768,Photoshop Learn Concept Art Manipulation,25.0,8,0,11,0,2016-08-30,03:11:48,1.5,0.0
288850,Make Logo design pay with illustrator in less than a day,50.0,22,1,20,1,2014-09-01,08:23:29,4.0,0.0
1068664,Create a Majestic Bear on Adobe Illustrator,55.0,3,0,10,1,2017-05-02,20:44:42,1.0,0.0
1136446,Adobe Illustrator CC Beginner,30.0,2,0,37,0,2017-03-08,04:12:22,4.0,0.0
1125728,Create Beveled Lettering in Adobe Illustrator,20.0,2,0,8,2,2017-02-26,17:17:59,0.5833333333333334,0.0
1228708,Learn Adobe Illustrator and Premiere Pro in 1 hour,20.0,1,0,19,1,2017-06-02,00:18:15,1.0,0.0
1095488,Adobe photoshop The  Flying Land compositing,70.0,2,0,23,1,2017-02-20,16:40:15,2.5,0.0
381828,Learn Mobile App Design in Photoshop,20.0,11,1,13,0,2015-01-07,00:46:01,1.5,0.0
406054,Photoshop: Real World Learning,20.0,9,0,56,1,2015-01-29,01:45:52,5.0,0.0
585174,Adobe Illustrator Fast Track,40.0,9,0,23,0,2015-08-18,18:05:55,2.5,0.0
1125814,Mastering Text Animation in After Effect,20.0,1,1,9,2,2017-02-26,19:49:26,1.0,0.0
1105636,How to Design A 2D Character in Illustrator,20.0,1,1,9,0,2017-02-08,22:04:43,1.0,0.0
327310,Design Efficiency Intensive,20.0,6,0,5,2,2015-01-12,06:46:34,0.55,0.0
1080584,Adobe Photoshop CC for Photographers Advanced,30.0,1,0,43,3,2017-01-19,22:12:04,2.5,1.0
513212,Adobe InDesign Tips and Tricks,80.0,4,0,8,1,2015-06-22,23:37:56,1.0,0.0
1047750,Photoshop CC Training - Creating Fantastic Album Cover Art,50.0,1,0,8,1,2016-12-21,19:40:11,1.0,0.0
831640,Beginner's Guide to Book Cover Designing.,25.0,2,1,11,0,2016-06-20,19:06:10,1.0,0.0
570188,Low Poly Portrait Illustration,20.0,4,0,8,1,2015-08-04,18:48:18,0.6833333333333333,0.0
365926,Events Promotion Design,45.0,4,0,9,2,2016-02-11,21:43:10,2.0,0.0
986832,Adobe Photoshop CC Introduction,30.0,1,0,55,0,2016-10-19,05:05:35,4.5,0.0
1077836,Ecover Mastery in 30 Minutes with NO photoshop skills needed,20.0,1,0,10,0,2017-01-23,21:55:40,0.6333333333333333,0.0
872816,Adobe Illustrator in Under 10: Fast info at your Fingertips!,30.0,1,0,34,1,2016-06-23,03:51:13,3.5,0.0
518188,An Easy Introduction to Adobe Photoshop,20.0,1,0,6,0,2015-07-07,00:14:56,1.0,0.0
726314,Create Beautiful Image Maps for Your Website,20.0,0,0,8,2,2016-01-18,17:56:36,0.6166666666666667,0.0
883828,T-Shirt Design Workshop 02: Mixed Media Design,25.0,885,176,29,2,2016-06-27,00:03:29,2.5,0.0
826202,Design a unique bookstore-quality Photo Book with Blurb,180.0,2863,11,27,1,2016-04-26,18:30:41,2.5,0.0
1171720,Learn to Create Deliverable Brand Identity Package,20.0,915,5,15,1,2017-04-13,00:51:27,1.0,0.0
117004,How to Draw Pinups and Sexy Women,75.0,3525,109,33,2,2013-11-19,03:05:51,20.0,0.0
952106,Design & Create Text Logos in Adobe Photoshop CS5,95.0,2035,19,23,1,2016-10-16,17:25:29,1.5,0.0
854746,Freelancing A-Z: How To Start A Successful Freelance Career,195.0,2267,28,81,1,2016-05-24,17:13:50,5.0,0.0
834114,Character Concept Design for Beginners,175.0,1197,55,98,1,2016-09-18,17:56:23,16.5,0.0
1012262,Icon & Logo Symbol Design in Adobe Illustrator,100.0,1043,27,30,1,2016-11-23,22:57:18,2.0,0.0
1091360,How to Draw Majestic Animals: Cats,35.0,1356,4,11,1,2017-02-23,23:09:23,1.0,0.0
808542,Sketchbook Pro for Beginners,125.0,1657,46,41,1,2016-04-01,00:18:17,4.0,0.0
1142428,Photoshop CC 2017 Full Course,90.0,655,18,150,0,2017-04-25,17:12:10,3.5,0.0
1015308,Mobile App Design in Photoshop from Scratch - UI & UX DESIGN,195.0,1282,17,19,1,2016-12-28,19:24:07,2.5,0.0
1114164,Affinity Designer - making seamless patterns,20.0,35,13,11,1,2017-02-20,17:28:21,1.0,0.0
635716,Typography: Learn the Foundation and Designs,135.0,220,13,33,1,2015-11-11,00:52:59,2.5,0.0
374652,Sketch 3 - New Guide To iOS 8 Mobile App Design (2015),20.0,481,15,66,1,2015-01-05,10:45:15,5.5,0.0
727510,How To Become An Etsy Wholesale Seller,100.0,1013,0,25,0,2016-03-29,22:34:30,2.5,0.0
579202,How to make Business Cards like a Pro,20.0,593,3,13,1,2015-08-11,19:07:52,0.7,0.0
699382,Creating animation puzzles with Google Slides,20.0,679,5,9,2,2016-05-30,18:02:47,1.0,0.0
20150,iPhone icons gone awesome,20.0,2346,18,55,1,2012-06-26,14:39:05,3.5,0.0
895302,Adobe After Effect: Create 15 Advance Motion Graphic Element,30.0,140,6,21,1,2016-07-07,23:27:41,2.5,0.0
403764,Learn Sketch 3 Mobile App Design From Scratch,60.0,528,9,20,1,2015-01-27,18:01:38,1.5,0.0
145178,Learn Real Graphic Design,20.0,297,27,19,1,2014-01-17,19:51:10,1.5,0.0
1127944,Designing With Halftones: Create a Dot Pattern Portrait!,20.0,228,0,7,2,2017-05-22,17:05:39,1.0,0.0
435626,A Beginners Guide to creating Vector Graphics With Photoshop,20.0,1207,5,19,0,2015-04-05,18:48:19,2.0,0.0
1114470,Adobe Photoshop CS6 para Iniciantes,40.0,5,0,63,0,2017-02-17,20:25:49,7.0,0.0
1143148,PHOTOSHOP: Dessiner l'affiche du film Rogue One en style BD,50.0,4,0,20,2,2017-04-27,00:51:04,4.5,0.0
640164,Doble exposición con Photoshop,20.0,36,0,5,1,2015-10-15,23:12:58,0.5666666666666667,0.0
1141560,Débuter avec KRITA,25.0,3,0,14,2,2017-05-01,21:00:57,2.0,0.0
1139792,会声会影深度教学,200.0,3,2,12,0,2017-03-17,17:07:38,0.6,0.0
1221032,Criando um poster com foto colagem digital,25.0,1,0,8,0,2017-05-25,11:25:50,0.6833333333333333,0.0
1075366,Adobe InDesign CC 2017 Quick Start,35.0,2,0,29,0,2017-04-17,22:36:55,2.5,0.0
223884,初めてのiDraw入門,20.0,13,0,14,1,2014-06-12,05:08:01,1.5,0.0
1164488,Interiores Sostenibles 101,30.0,1,0,5,0,2017-04-15,18:43:37,1.0,0.0
1122306,Wordpress: Comment utiliser le thème FABLE,20.0,1,0,10,0,2017-03-07,16:53:27,0.65,0.0
177584,Adobe InDesign CS6,50.0,5,0,35,0,2014-03-31,20:24:16,5.0,0.0
586914,Aprende Photoshop con Ejercicios Prácticos.,20.0,3,0,46,1,2015-12-22,16:22:03,4.0,0.0
397204,Typography Design: Learn Web Typography The Practical Way,20.0,970,9,34,0,2015-01-20,20:39:15,2.0,0.0
58791,Toon Boom Studio Tutorial - Cartoon Animation Made Simple,50.0,342,20,81,1,2013-06-07,15:38:12,5.0,0.0
1182330,Learn Logo Designing: 5 Types of Logo Designs in Illustrator,30.0,106,2,19,0,2017-05-09,19:00:35,3.0,0.0
172906,Practical Font Design,50.0,229,23,26,2,2014-04-16,15:08:48,7.5,0.0
766906,Smashing Photoshop CC/CS,20.0,437,7,76,0,2016-04-26,23:02:01,5.0,0.0
379814,"Sketching: How to Draw People, Hands, Eyes, Buildings & Cars",20.0,500,16,31,1,2014-12-29,21:50:46,2.0,0.0
445102,Converting Type to Outlines in Adobe InDesign,20.0,725,1,12,2,2015-03-31,19:04:00,0.6333333333333333,0.0
655198,Siemens NX Unigraphics (UG) Basic to Advance 3D Modelling,50.0,142,23,88,1,2015-10-30,20:53:46,10.5,0.0
575040,Typography From A to Z,100.0,317,15,76,1,2015-08-07,22:16:26,6.0,0.0
966268,Digital Asset Designer: Creating and Selling Mockups,50.0,50,12,28,0,2016-09-27,17:20:02,3.0,0.0
536780,Adobe Illustrator CC - From scratch ,45.0,115,12,24,0,2015-06-26,18:43:13,5.5,0.0
431562,Photoshop: 5 Practical Techniques to Improve Your Skills,20.0,780,5,5,2,2015-02-26,18:16:34,0.7166666666666667,0.0
1047408,Easy Coloring Book Design,25.0,0,0,9,0,2016-12-22,00:46:38,0.5833333333333334,0.0
987865,Make Patterns in Illustrator,20.0,0,0,32,0,2017-05-25,15:31:11,3.5,0.0
371900,Learn to create Text fire effect in Adobe Photoshop ,20.0,0,0,8,1,2014-12-19,23:19:47,0.6,0.0
995384,Professional Business Logo Design Using Free Online Tools,20.0,0,0,5,1,2016-10-31,16:09:48,0.6166666666666667,0.0
1252410,Beginners Guide to Kindle Ebook Covers Design With Fireworks,20.0,0,0,16,1,2017-06-19,19:26:46,1.5,0.0
1216554,Photoshop isn't like what you imagine A to Z .,35.0,343,0,24,1,2017-07-06,03:32:48,3.5,0.0
1275872,The Complete Adobe Spark Course,150.0,0,0,29,1,2017-07-03,17:39:57,2.0,0.0
1133764,The Art of Logo Design : Everything You Need to Know,20.0,0,0,18,1,2017-03-09,16:11:36,1.0,0.0
1200856,Hand Lettering para Iniciantes,40.0,384,92,18,1,2017-06-15,10:24:09,0.7166666666666667,0.0
1226332,Aprende a utilizar Canva,20.0,677,45,11,0,2017-05-28,16:09:00,0.6666666666666666,0.0
950894,photoshop - CURSO DE PHOTOSHOP DO BÁSICO AO AVANÇADO,100.0,1110,183,77,1,2017-02-06,17:22:18,10.0,0.0
1245356,Photoshop - Revelando os segredos das Fusões,20.0,858,25,17,3,2017-06-08,11:10:08,3.5,0.0
1092766,Create Mobile App Design from Scratch in Photoshop,125.0,1359,7,24,0,2017-02-01,04:40:24,2.5,0.0
364986,Apple Watch Design,20.0,9847,24,35,1,2014-12-29,04:59:24,4.0,0.0
908664,Word Swag : Create Stunning Images with the Word Swag App,100.0,2416,19,14,1,2016-08-09,17:56:53,1.0,0.0
1234108,How to Draw Majestic Animals: Dogs,35.0,1524,5,11,1,2017-05-30,15:30:55,1.0,0.0
47004,Photoshop Course: Design an eBook Cover in Photoshop,50.0,11893,69,40,1,2013-04-25,17:04:18,3.0,0.0
327666,Digital Art for Beginners,150.0,3381,388,57,0,2016-02-14,23:43:10,15.0,0.0
1068902,Learn How To Design a Logo in Adobe Illustrator in 30 Mins,50.0,1270,53,14,0,2017-01-16,22:00:29,0.5,0.0
1076222,The most popular techniques in Photoshop,20.0,1753,18,15,2,2017-02-21,18:07:38,1.0,0.0
278948,Become a Professional Graphic Designer,35.0,3618,345,207,1,2014-08-13,16:37:12,20.5,0.0
1013676,Adobe Illustrator CC 2017 for beginners,195.0,2489,39,12,0,2017-01-31,22:13:11,1.5,0.0
62497,How to Draw Cute Cartoon Characters,55.0,4080,522,26,1,2013-10-01,01:11:51,2.0,0.0
1182900,How to Create awesome Cinema-graph With Adobe Photoshop?,20.0,1602,8,16,0,2017-05-07,16:32:00,1.0,0.0
1178226,Learn to Create a Mandala with Adobe Illustrator,50.0,7,0,28,1,2017-04-24,19:24:51,4.5,0.0
1165268,15  Motion Graphic Elements in After Effect (Series 2),30.0,8,0,20,2,2017-04-11,04:27:34,3.0,0.0
1133648,Fantasy map design,30.0,7,2,18,1,2017-03-16,16:31:23,2.5,0.0
471136,Creating 2D Game Assets,25.0,57,0,12,1,2015-04-17,22:34:55,2.0,0.0
63712,create 9 professional logo design full version,35.0,91,3,34,1,2013-07-23,10:40:16,2.0,0.0
1055424,Stencil - Simple Graphic Design For Entrepreneurs,95.0,11,0,10,1,2017-01-03,12:28:37,1.0,0.0
843620,Learn Adobe InDesign from Scratch,40.0,6,2,46,0,2016-06-20,15:34:32,4.5,0.0
1153326,Getting the Life of an Instructional Designer,40.0,5,0,16,1,2017-05-01,00:12:09,1.5,0.0
551964,Drawing for All Levels: How to Design Cartoon Women,20.0,5,2,20,1,2015-07-14,22:01:30,1.5,0.0
1104858,Photoshop Tools 101,50.0,6,0,49,1,2017-05-01,21:49:18,3.0,0.0
517866,How to create gif animation in photoshop,20.0,34,0,18,1,2015-06-02,19:06:24,1.0,0.0
1036766,How to Color Comic Books... with a Mouse,30.0,7,0,8,1,2017-01-03,14:38:04,2.0,0.0
337072,Bestseller! Learn Photoshop in 1 Hour (No Experience Needed),200.0,5471,72,39,0,2015-03-05,22:03:28,6.5,0.0
737642,How To Design A Fortune 500 Logo in Illustrator,195.0,3599,43,72,2,2016-01-24,22:45:26,5.0,0.0
520766,Canva : Graphic Design Theory Volume2,200.0,4961,38,29,1,2015-06-20,00:03:03,2.0,0.0
757900,Canva : Book Cover Design,100.0,3377,20,15,0,2016-02-26,01:08:20,2.0,0.0
978576,The Complete Figure Drawing Course HD,50.0,1323,136,225,0,2016-10-11,21:40:06,78.5,0.0
961684,Mastering Logo Design - 20 Projects step-by-step,200.0,2599,24,77,1,2016-09-25,17:57:11,7.5,0.0
371490,Graphic Design: Create Animated GIF Ad Banners in Photoshop,20.0,6612,44,20,1,2014-12-19,22:46:05,1.0,0.0
1134692,Learn Inkscape : Design Logos and Game Arts,20.0,1675,20,12,0,2017-03-15,16:46:00,1.0,0.0
507726,Typography: Learn the Basics to Build a Solid Foundation,35.0,5850,19,34,0,2015-05-26,17:36:32,1.0,0.0
349586,Master Manga Studio 5: Bonus Drawing and Painting,165.0,2325,155,61,1,2015-02-06,07:44:43,8.0,0.0
1153710,Learn Adobe Photoshop from scratch to professional,20.0,1276,3,19,0,2017-04-05,21:50:14,3.5,0.0
1269190,7 Secrets To Designing In Black and White,100.0,1000,1,12,1,2017-06-27,19:55:18,1.5,0.0
303042,Photoshop CS 6 ile Fotoğraf İşlemenin Temelleri,20.0,86,10,78,0,2015-02-13,07:07:44,6.0,0.0
647520,誰でもわかる Adobe Illustrator CS6,20.0,11,2,15,0,2015-10-22,18:40:54,3.0,0.0
681878,Devenez le king de l'illustration automobile,50.0,42,10,32,0,2015-12-09,16:49:20,4.5,0.0
873296,Corel Draw X7 Eğitimi (Temelden İleri Seviyeye),105.0,28,6,103,1,2016-06-09,21:43:59,12.0,0.0
1164720,调色中级课程,200.0,5,3,7,0,2017-03-31,17:19:38,1.0,0.0
1019552,Drawing and paint  hot girl with photoshop,35.0,74,1,11,1,2016-11-24,22:02:38,1.5,0.0
1147664,Photoshop CC Eğitim Seti (YENİ),100.0,27,5,202,1,2017-03-30,22:26:26,16.0,0.0
948294,مدخل في أساسيات الفوطوشوب للمبتدئين فقط,120.0,13,9,7,0,2016-09-06,02:48:13,1.0,0.0
393850,Creación de iconos con Illustrator,20.0,27,3,54,1,2015-01-17,02:28:25,3.0,0.0
733878,Adobe Illustrator Course in Urdu Basics Level Training,0.0,1433,57,8,0,2016-01-19,17:22:59,1.0,0.0
860656,GraphicDesign Studio,95.0,110,9,22,0,2016-05-27,20:34:07,2.5,0.0
1246252,Aula de Photoshop - Aprenda como recortar imagens,65.0,15,1,14,0,2017-07-03,00:56:30,2.0,0.0
622122,Make your own great designs in PowerPoint: Quick & Easy,20.0,19,6,10,0,2015-09-30,17:30:55,1.0,1.0
222976,Create Kindle eBook Covers with PowerPoint,30.0,87,7,23,1,2014-06-17,07:51:54,2.0,0.0
439968,Magazine Design: Start your own magazine in less than 24hrs,20.0,802,10,30,1,2015-03-22,20:27:01,2.0,0.0
852060,Essential Skills for Designers - Adobe Bridge,20.0,14,5,13,1,2016-05-17,23:40:40,1.0,0.0
546848,Learn to code in Python and learn Adobe Photoshop today!,50.0,1132,1,29,1,2015-07-08,00:15:12,2.0,0.0
81278,How to draw Caricatures,20.0,347,31,11,1,2013-08-21,16:58:27,4.0,0.0
53556,Essential Skills for Designers - Working with Type,45.0,219,11,25,1,2013-05-13,12:59:44,2.0,0.0
1158854,Affinity Designer for beginners,20.0,30,6,23,0,2017-05-01,20:48:32,4.5,0.0
68876,How to Create Top Ranking Mobile App Icons - iOS Edition,35.0,130,6,13,1,2013-07-30,16:43:28,1.0,0.0
514496,Canva - Making Design Simple,20.0,509,4,15,1,2015-06-24,18:57:24,0.5333333333333333,0.0
649404,Ribbon Lettering: From Sketch to Wordmark,40.0,342,2,8,1,2015-10-25,20:54:43,0.7166666666666667,0.0
108384,How to Make a Custom Graphic ,20.0,87,8,8,0,2013-10-24,04:16:41,1.0,0.0
753934,Create Flat Designs with Inkscape ,30.0,259,3,11,0,2016-02-14,21:56:08,1.5,0.0
